219,170,122
219,170,122
210,173,138
210,173,138
209,175,144
210,177,145
209,179,151
209,179,151
214,187,162
214,187,162
214,191,170
209,187,168
197,158,145
198,158,144
188,144,136
192,150,136
196,156,137
200,164,139
201,164,136
199,161,130
194,152,117
191,149,115
188,147,113
192,151,116
190,149,115
188,147,114
185,146,114
184,145,113
183,144,112
175,137,108
174,136,108
173,135,107
181,142,111
181,141,111
181,141,111
179,140,111
179,140,110
179,140,110
172,135,107
172,134,107
172,134,107
181,141,111
181,141,111
181,141,111
179,141,111
179,140,110
179,140,110
172,135,107
172,135,107
172,135,107
181,141,110
181,141,110
181,141,110
179,141,111
179,141,111
179,141,111
173,135,107
172,135,107
172,135,107
181,141,111
181,141,111
181,141,111
179,141,111
179,141,111
179,141,111
173,135,107
172,135,107
172,135,107
181,142,111
181,142,111
181,142,111
179,141,111
179,141,111
179,141,111
173,135,107
172,135,107
172,135,107
181,141,110
148,178,155
138,168,149
139,170,154
132,160,154
130,160,157
126,152,148
124,152,150
123,132,129
124,134,133
126,118,120
126,118,123
135,114,114
134,114,115
146,99,105
146,99,106
174,102,95
172,101,95
168,107,103
167,105,103
158,114,117
157,115,118
163,121,120
164,122,122
156,120,113
156,120,113
154,132,115
155,133,116
192,153,124
192,153,125
189,151,123
189,151,123
196,156,127
196,156,127
192,154,125
192,154,125
190,152,123
190,152,123
196,156,127
196,156,127
192,153,125
192,153,125
190,150,122
191,150,122
194,151,123
194,150,123
192,150,122
192,150,122
191,149,121
196,153,126
195,152,126
195,154,129
195,155,129
196,158,136
198,160,138
181,151,142
181,152,144
182,154,146
182,155,147
183,156,148
183,156,148
183,157,149
182,155,147
182,155,147
183,156,149
183,156,149
183,157,148
184,157,149
182,155,147
182,155,147
134,114,114
145,98,105
148,101,107
171,98,93
171,100,94
167,105,103
166,104,103
156,113,116
156,114,116
164,121,119
161,120,119
157,121,113
155,119,112
154,133,116
154,132,115
177,145,119
162,144,145
162,144,145
163,143,144
166,139,136
166,139,136
185,174,176
207,205,209
207,205,209
204,201,205
202,198,202
197,192,196
151,125,60
153,120,62
153,120,62
156,123,73
156,124,75
158,126,75
160,127,75
163,129,74
161,127,71
168,132,74
169,132,76
169,132,76
178,137,78
177,137,78
169,135,76
169,135,76
145,122,82
133,113,93
191,181,178
193,180,173
194,178,170
194,179,170
194,177,167
194,177,167
124,89,69
131,93,68
131,94,68
130,101,64
130,101,63
131,110,83
131,110,83
130,108,80
124,113,83
124,115,84
123,115,85
124,113,83
124,110,82
123,108,81
124,108,81
125,98,83
125,96,85
136,76,78
137,76,80
144,80,67
138,74,58
125,60,50
125,70,55
129,76,59
131,78,61
125,73,62
121,69,64
121,69,64
137,102,87
219,214,216
219,214,216
195,195,195
133,84,75
151,102,83
148,100,78
148,103,77
151,104,78
146,101,67
141,91,61
153,112,68
163,132,75
162,133,75
166,140,79
153,128,74
154,125,74
154,124,75
153,123,98
145,126,94
144,125,94
146,128,90
147,128,89
143,127,89
140,126,90
150,141,113
153,141,111
162,181,197
226,232,238
170,122,123
170,121,125
82,93,87
84,86,84
84,87,84
82,79,78
82,78,78
106,96,99
106,95,100
132,112,119
132,111,119
134,112,118
134,112,119
21,2,6
28,3,9
27,3,8
27,3,9
23,3,9
19,3,8
15,3,7
10,2,6
159,157,153
153,157,153
159,154,152
164,159,157
164,152,152
166,149,150
165,147,147
158,144,144
162,149,151
160,146,146
162,149,149
165,148,150
165,149,150
162,151,150
156,150,147
161,164,168
184,176,173
179,173,177
173,162,157
164,161,158
169,162,156
150,144,137
147,145,137
141,136,125
134,130,121
157,128,123
157,128,123
191,174,178
191,174,178
191,174,178
191,175,178
203,191,193
199,189,190
200,189,190
200,189,191
196,186,189
197,186,189
197,186,189
197,186,189
192,182,189
192,183,189
192,183,189
192,183,189
177,167,178
177,168,178
177,168,178
177,168,178
176,162,171
175,162,171
175,162,171
175,161,171
171,154,163
171,154,163
171,154,163
167,151,163
166,149,162
166,149,162
166,149,162
165,149,162
133,115,83
133,115,83
130,114,81
130,115,81
130,113,81
132,114,82
132,114,82
132,114,82
133,112,83
133,113,83
133,113,83
129,112,80
128,110,79
128,110,79
131,112,81
132,112,82
132,111,81
133,111,82
133,111,82
133,111,82
128,109,79
128,109,79
128,109,79
132,112,81
131,111,81
131,111,81
133,110,82
133,110,82
132,110,82
127,109,79
127,109,79
127,109,79
129,110,81
125,109,81
125,109,81
128,108,83
128,108,83
121,97,76
119,96,75
119,96,75
120,94,75
120,94,75
121,96,75
121,96,76
120,96,75
120,96,75
120,94,75
120,94,75
122,96,76
121,96,76
120,95,74
120,95,75
120,93,75
120,93,75
122,95,75
121,95,76
120,94,74
120,94,75
121,93,74
121,93,75
122,94,75
122,94,75
119,92,72
119,92,72
119,90,71
130,102,80
133,103,81
130,133,99
124,140,106
127,148,111
134,148,111
133,148,111
135,154,113
134,154,113
129,151,110
147,130,120
154,137,128
130,113,105
135,118,111
142,128,122
121,104,97
115,99,93
115,100,94
116,101,97
111,96,91
109,94,92
109,94,92
109,94,93
109,94,93
107,93,93
107,93,93
92,96,76
92,96,76
64,115,68
64,115,68
63,116,67
63,116,67
63,117,67
63,117,67
63,117,67
63,117,67
63,117,67
63,117,67
63,117,67
63,117,67
63,117,67
63,117,67
63,117,67
63,117,67
66,119,69
79,129,83
86,135,89
90,134,89
86,129,83
97,135,91
97,135,91
101,137,94
101,137,94
66,106,80
71,100,82
83,103,96
87,105,90
80,100,81
86,106,77
79,105,75
91,115,78
118,136,102
144,156,127
156,165,134
176,176,151
178,182,155
151,163,136
172,170,153
113,132,110
119,134,114
92,114,95
90,108,96
91,107,99
84,106,92
75,103,86
70,103,82
61,103,77
58,101,69
55,99,67
53,100,67
63,98,65
84,112,74
107,125,92
144,140,106
146,140,106
112,106,73
94,88,54
86,82,61
88,90,71
